FFA_left	FFA_right	OFA_left	OFA_right	STS_left	STS_right
0	0	2	0	1	3
7	9	5	3	4	11
9	10	7	8	4	12
3	5	4	10	12	6
2	4	0	0	5	6
10	10	10	10	2	3
3	7	2	6	4	8
4	5	0	0	7	8
2	4	7	3	6	5
6	4	14	13	5	15
2	8	10	9	11	7
6	1	4	0	8	9
8	9	2	6	0	10
5	7	4	7	9	10
4	0	2	0	9	8
4	11	6	11	9	10
10	7	4	2	10	11
4	3	0	0	5	7
3	6	0	0	7	8
7	8	5	4	11	12
3	6	5	0	2	1
7	4	1	5	9	8
4	10	3	10	9	11
11	8	0	3	12	13
6	7	0	4	11	10
4	3	4	3	2	6
8	7	1	7	9	10
2	4	3	4	1	6
11	12	8	12	13	14
5	9	3	6	8	7
5	6	4	7	0	2
5	7	6	0	10	11
5	7	0	2	0	9
2	7	0	7	6	8
2	9	8	0	10	11
8	7	4	6	10	11
12	13	2	13	15	14
12	8	12	10	13	14
7	9	6	9	8	10
7	9	10	11	15	8
12	8	12	4	14	13
12	13	16	0	19	1
12	14	5	14	15	16
8	10	4	9	13	12
8	9	11	0	15	16
1	8	7	0	5	9
7	13	11	10	15	14
8	9	0	0	6	10
10	11	7	3	14	13
3	7	0	7	6	8
