label,ind
Frontal_Pole,1
Insular_Cortex,2
Superior_Frontal_Gyrus,3
Middle_Frontal_Gyrus,4
Inferior_Frontal_Gyrus_pars_triangularis,5
Inferior_Frontal_Gyrus_pars_opercularis,6
Precentral_Gyrus,7
Temporal_Pole,8
Superior_Temporal_Gyrus_anterior_division,9
Superior_Temporal_Gyrus_posterior_division,10
Middle_Temporal_Gyrus_anterior_division,11
Middle_Temporal_Gyrus_posterior_division,12
Middle_Temporal_Gyrus_temporooccipital_part,13
Inferior_Temporal_Gyrus_anterior_division,14
Inferior_Temporal_Gyrus_posterior_division,15
Inferior_Temporal_Gyrus_temporooccipital_part,16
Postcentral_Gyrus,17
Superior_Parietal_Lobule,18
Supramarginal_Gyrus_anterior_division,19
Supramarginal_Gyrus_posterior_division,20
Angular_Gyrus,21
Lateral_Occipital_Cortex_superior_division,22
Lateral_Occipital_Cortex_inferior_division,23
Intracalcarine_Cortex,24
Frontal_Medial_Cortex,25
Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),26
Subcallosal_Cortex,27
Paracingulate_Gyrus,28
Cingulate_Gyrus_anterior_division,29
Cingulate_Gyrus_posterior_division,30
Precuneous_Cortex,31
Cuneal_Cortex,32
Frontal_Orbital_Cortex,33
Parahippocampal_Gyrus_anterior_division,34
Parahippocampal_Gyrus_posterior_division,35
Lingual_Gyrus,36
Temporal_Fusiform_Cortex_anterior_division,37
Temporal_Fusiform_Cortex_posterior_division,38
Temporal_Occipital_Fusiform_Cortex,39
Occipital_Fusiform_Gyrus,40
Frontal_Operculum_Cortex,41
Central_Opercular_Cortex,42
Parietal_Operculum_Cortex,43
Planum_Polare,44
Heschls_Gyrus_(includes_H1_and_H2),45
Planum_Temporale,46
Supracalcarine_Cortex,47
Occipital_Pole,48
Left_Cerebral_White_Matter,101
Left_Cerebral_Cortex,102
Left_Lateral_Ventricle,103
Left_Thalamus,104
Left_Caudate,105
Left_Putamen,106
Left_Pallidum,107
Brain_Stem,108
Left_Hippocampus,109
Left_Amygdala,110
Left_Accumbens,111
Right_Cerebral_White_Matter,112
Right_Cerebral_Cortex,113
Right_Lateral_Ventricle,114
Right_Thalamus,115
Right_Caudate,116
Right_Putamen,117
Right_Pallidum,118
Right_Hippocampus,119
Right_Amygdala,120
Right_Accumbens,121
Cerebellum,200
