trial,time,stimulus,RT,KeyPressed,Is correct
1,,Fixation,,,
2,,Fixation,,,
3,,Fixation,,,
4,,Fixation,,,
5,,Fixation,,,
6,,Fixation,,,
7,,Fixation,,,
8,,Fixation,,,
9,,Fixation,,,
10,,Fixation,,,
11,,Fixation,,,
12,,Fixation,,,
13,,Fixation,,,
14,,Fixation,,,
15,,Fixation,,,
16,,Fixation,,,
79,78.0558,Opener.avi,none,none,TRUE
80,79.0559,Opener.avi,0.42799,b,TRUE
81,,Fixation,,,
82,,Fixation,,,
83,,Fixation,,,
84,,Fixation,,,
85,,Fixation,,,
86,,Fixation,,,
87,,Fixation,,,
88,,Fixation,,,
89,,Fixation,,,
90,,Fixation,,,
91,,Fixation,,,
92,,Fixation,,,
93,,Fixation,,,
94,,Fixation,,,
95,,Fixation,,,
96,,Fixation,,,
97,96.0212,MVI_0929_new.avi,none,none,TRUE
98,97.0893,MVI_0919_new.avi,none,none,TRUE
99,98.0792,MVI_0922_new.avi,none,none,TRUE
100,99.0292,MVI_0931_new.avi,none,none,TRUE
101,100.0214,MVI_0937_new.avi,none,none,TRUE
102,101.0224,MVI_0915_new.avi,none,none,TRUE
103,102.0225,MVI_0920_new.avi,none,none,TRUE
104,103.0224,MVI_0936_new.avi,none,none,TRUE
105,104.0216,MVI_0921_new.avi,none,none,TRUE
106,105.0225,MVI_0930_new.avi,none,none,TRUE
