subjectID	order	run	before_or_after	session	itemName	bidInd	isMale	onsettime	fixationTime	onset	duration
"MRI_faces_140	"	2	1	"after	"	2	"2045.jpg	"	7	0	2.135207	4.021244	2.135207	2
"MRI_faces_140	"	2	1	"after	"	2	"1130.jpg	"	43	1	6.019956	8.020657	6.019956	2
"MRI_faces_140	"	2	1	"after	"	2	"2039.jpg	"	16	0	11.020101	13.020432	11.020101	2
"MRI_faces_140	"	2	1	"after	"	2	"2149.jpg	"	55	0	15.020804	17.021138	15.020804	2
"MRI_faces_140	"	2	1	"after	"	2	"2010.jpg	"	22	0	20.021722	22.022037	20.021722	2
"MRI_faces_140	"	2	1	"after	"	2	"1052.jpg	"	52	1	24.022358	26.022811	24.022358	2
"MRI_faces_140	"	2	1	"after	"	2	"1204.jpg	"	54	1	27.022915	29.0233	27.022915	2
"MRI_faces_140	"	2	1	"after	"	2	"1191.jpg	"	47	1	31.023711	33.024028	31.023711	2
"MRI_faces_140	"	2	1	"after	"	2	"1150.jpg	"	44	1	35.024352	37.017392	35.024352	2
"MRI_faces_140	"	2	1	"after	"	2	"2218.jpg	"	18	0	41.017511	43.017476	41.017511	2
"MRI_faces_140	"	2	1	"after	"	2	"2015.jpg	"	42	0	44.017457	46.017494	44.017457	2
"MRI_faces_140	"	2	1	"after	"	2	"2181.jpg	"	21	0	47.017495	49.01762	47.017495	2
"MRI_faces_140	"	2	1	"after	"	2	"2125.jpg	"	3	0	52.017552	54.01766	52.017552	2
"MRI_faces_140	"	2	1	"after	"	2	"2053.jpg	"	20	0	60.017693	62.017721	60.017693	2
"MRI_faces_140	"	2	1	"after	"	2	"1145.jpg	"	53	1	63.017788	65.017743	63.017788	2
"MRI_faces_140	"	2	1	"after	"	2	"2118.jpg	"	8	0	66.017756	68.0178	66.017756	2
"MRI_faces_140	"	2	1	"after	"	2	"1007.jpg	"	46	1	69.01785	71.017867	69.01785	2
"MRI_faces_140	"	2	1	"after	"	2	"2089.jpg	"	15	0	72.017826	74.017868	72.017826	2
"MRI_faces_140	"	2	1	"after	"	2	"1019.jpg	"	45	1	75.017866	77.018001	75.017866	2
"MRI_faces_140	"	2	1	"after	"	2	"2063.jpg	"	14	0	79.017923	81.018041	79.017923	2
"MRI_faces_140	"	2	1	"after	"	2	"1146.jpg	"	40	1	82.017993	84.018089	82.017993	2
"MRI_faces_140	"	2	1	"after	"	2	"2248.jpg	"	11	0	85.017998	87.018055	85.017998	2
"MRI_faces_140	"	2	1	"after	"	2	"1027.jpg	"	51	1	90.018122	92.018134	90.018122	2
"MRI_faces_140	"	2	1	"after	"	2	"2155.jpg	"	48	0	95.018222	97.018599	95.018222	2
"MRI_faces_140	"	2	1	"after	"	2	"2043.jpg	"	39	0	102.019373	104.022766	102.019373	2
"MRI_faces_140	"	2	1	"after	"	2	"1255.jpg	"	9	1	105.019889	107.020254	105.019889	2
"MRI_faces_140	"	2	1	"after	"	2	"1013.jpg	"	6	1	108.022538	110.022097	108.022538	2
"MRI_faces_140	"	2	1	"after	"	2	"2041.jpg	"	17	0	111.020881	113.021342	111.020881	2
"MRI_faces_140	"	2	1	"after	"	2	"1192.jpg	"	58	1	116.02179	118.022164	116.02179	2
"MRI_faces_140	"	2	1	"after	"	2	"2240.jpg	"	5	0	119.022313	121.022707	119.022313	2
"MRI_faces_140	"	2	1	"after	"	2	"1035.jpg	"	4	1	122.022856	124.023165	122.022856	2
"MRI_faces_140	"	2	1	"after	"	2	"1210.jpg	"	41	1	125.023429	127.023689	125.023429	2
"MRI_faces_140	"	2	1	"after	"	2	"1226.jpg	"	50	1	130.02429	132.018612	130.02429	2
"MRI_faces_140	"	2	1	"after	"	2	"1031.jpg	"	10	1	135.018753	137.018678	135.018753	2
"MRI_faces_140	"	2	1	"after	"	2	"1246.jpg	"	56	1	139.018699	141.018706	139.018699	2
"MRI_faces_140	"	2	1	"after	"	2	"2024.jpg	"	12	0	145.018837	147.018803	145.018837	2
"MRI_faces_140	"	2	1	"after	"	2	"1060.jpg	"	57	1	148.01892	150.018926	148.01892	2
"MRI_faces_140	"	2	1	"after	"	2	"1073.jpg	"	19	1	152.018905	154.018871	152.018905	2
"MRI_faces_140	"	2	1	"after	"	2	"2094.jpg	"	13	0	157.018975	159.018952	157.018975	2
"MRI_faces_140	"	2	1	"after	"	2	"1127.jpg	"	49	1	161.018957	163.019034	161.018957	2
