trial,time,stimulus,RT,KeyPressed,Is correct
1,,Fixation,,,
2,,Fixation,,,
3,,Fixation,,,
4,,Fixation,,,
5,,Fixation,,,
6,,Fixation,,,
7,,Fixation,,,
8,,Fixation,,,
9,,Fixation,,,
10,,Fixation,,,
11,,Fixation,,,
12,,Fixation,,,
13,,Fixation,,,
14,,Fixation,,,
15,,Fixation,,,
16,,Fixation,,,
17,16.043,Tire.avi,none,none,TRUE
18,17.0395,Toilet.avi,none,none,TRUE
19,18.0414,Water.avi,none,none,TRUE
20,19.0414,StopWatch.avi,none,none,TRUE
21,20.0414,Fan.avi,none,none,TRUE
22,21.0415,Candle.avi,none,none,TRUE
23,22.0416,Opener.avi,none,none,TRUE
24,23.0414,Coffee.avi,none,none,TRUE
25,24.0414,Globe.avi,none,none,TRUE
26,25.0414,Leaves.avi,none,none,TRUE
27,26.0414,RecPlayer.avi,none,none,TRUE
28,27.0414,RecPlayer.avi,0.59658,b,TRUE
29,28.0414,Discs.avi,none,none,TRUE
30,29.0414,Tennis.avi,none,none,TRUE
31,30.0414,Flag.avi,none,none,TRUE
32,31.0414,Flag.avi,0.49279,b,TRUE
33,32.0483,Tennis.avi,none,none,TRUE
34,33.0691,Discs.avi,none,none,TRUE
35,34.0483,Candle.avi,none,none,TRUE
36,35.0483,Coffee.avi,none,none,TRUE
37,36.0483,Toilet.avi,none,none,TRUE
38,37.0483,Tire.avi,none,none,TRUE
39,38.0483,Tire.avi,0.55137,b,TRUE
40,39.0483,Globe.avi,none,none,TRUE
41,40.0483,Fan.avi,none,none,TRUE
42,41.0483,Flag.avi,none,none,TRUE
43,42.0483,Flag.avi,0.65298,b,TRUE
44,43.0484,Opener.avi,none,none,TRUE
45,44.0483,StopWatch.avi,none,none,TRUE
46,45.0483,Leaves.avi,none,none,TRUE
47,46.0484,Water.avi,none,none,TRUE
48,47.0483,RecPlayer.avi,none,none,TRUE
49,48.0532,MVI_0919_new.avi,none,none,TRUE
50,49.0718,MVI_0921_new.avi,none,none,TRUE
51,50.0545,MVI_0922_new.avi,none,none,TRUE
52,51.0532,MVI_0937_new.avi,none,none,TRUE
53,52.0545,MVI_0937_new.avi,0.74561,b,TRUE
54,53.0546,MVI_0931_new.avi,none,none,TRUE
55,54.0545,MVI_0932_new.avi,none,none,TRUE
56,55.0545,MVI_0915_new.avi,none,none,TRUE
57,56.0544,MVI_0935_new.avi,none,none,TRUE
58,57.0546,MVI_0929_new.avi,none,none,TRUE
59,58.0543,MVI_0929_new.avi,0.50172,b,TRUE
60,59.0545,MVI_0917_new.avi,none,none,TRUE
61,60.0545,MVI_0936_new.avi,none,none,TRUE
62,61.0545,MVI_0930_new.avi,none,none,TRUE
63,62.0545,MVI_0920_new.avi,none,none,TRUE
64,63.0546,MVI_0934_new.avi,none,none,TRUE
65,64.0593,MVI_0936_new.avi,none,none,TRUE
66,65.0794,MVI_0935_new.avi,none,none,TRUE
67,66.0726,MVI_0935_new.avi,0.86727,b,TRUE
68,67.0606,MVI_0920_new.avi,none,none,TRUE
69,68.0607,MVI_0922_new.avi,none,none,TRUE
70,69.0607,MVI_0934_new.avi,none,none,TRUE
71,70.0608,MVI_0915_new.avi,none,none,TRUE
72,71.0607,MVI_0932_new.avi,none,none,TRUE
73,72.0607,MVI_0929_new.avi,none,none,TRUE
74,73.0607,MVI_0917_new.avi,none,none,TRUE
75,74.0607,MVI_0921_new.avi,none,none,TRUE
76,75.0607,MVI_0919_new.avi,none,none,TRUE
77,76.0607,MVI_0931_new.avi,none,none,TRUE
78,77.0608,MVI_0931_new.avi,0.58309,b,TRUE
