subjectID	order	run	before_or_after	session(visit)	itemName	bidInd	isMale?	onsettime	fixationTime
MRI_faces_135	 1	 1	 after	 2	 1027.jpg	 6	 1	 2.155004	 4.025354	
MRI_faces_135	 1	 1	 after	 2	 2229.jpg	 47	 0	 6.025499	 8.022764	
MRI_faces_135	 1	 1	 after	 2	 1255.jpg	 5	 1	 11.025519	 13.025556	
MRI_faces_135	 1	 1	 after	 2	 2248.jpg	 43	 0	 15.025553	 17.025561	
MRI_faces_135	 1	 1	 after	 2	 2024.jpg	 54	 0	 20.025634	 22.008832	
MRI_faces_135	 1	 1	 after	 2	 2153.jpg	 15	 0	 24.008876	 26.009105	
MRI_faces_135	 1	 1	 after	 2	 2112.jpg	 21	 0	 27.009193	 29.009559	
MRI_faces_135	 1	 1	 after	 2	 2128.jpg	 51	 0	 31.010177	 33.010479	
MRI_faces_135	 1	 1	 after	 2	 1052.jpg	 17	 1	 35.010846	 37.011285	
MRI_faces_135	 1	 1	 after	 2	 1210.jpg	 14	 1	 41.026023	 43.026026	
MRI_faces_135	 1	 1	 after	 2	 2006.jpg	 45	 0	 44.026076	 46.026065	
MRI_faces_135	 1	 1	 after	 2	 1073.jpg	 7	 1	 47.012982	 49.026162	
MRI_faces_135	 1	 1	 after	 2	 1216.jpg	 19	 1	 52.026207	 54.014235	
MRI_faces_135	 1	 1	 after	 2	 2010.jpg	 52	 0	 60.015239	 62.026316	
MRI_faces_135	 1	 1	 after	 2	 1146.jpg	 22	 1	 63.015778	 65.016129	
MRI_faces_135	 1	 1	 after	 2	 2045.jpg	 53	 0	 66.026343	 68.026389	
MRI_faces_135	 1	 1	 after	 2	 2194.jpg	 44	 0	 69.016784	 71.017160	
MRI_faces_135	 1	 1	 after	 2	 2094.jpg	 8	 0	 72.017308	 74.017665	
MRI_faces_135	 1	 1	 after	 2	 1050.jpg	 18	 1	 75.017873	 77.018223	
MRI_faces_135	 1	 1	 after	 2	 2053.jpg	 4	 0	 79.018507	 81.018855	
MRI_faces_135	 1	 1	 after	 2	 2240.jpg	 56	 0	 82.019025	 84.019403	
MRI_faces_135	 1	 1	 after	 2	 1226.jpg	 13	 1	 85.019672	 87.019943	
MRI_faces_135	 1	 1	 after	 2	 1127.jpg	 46	 1	 90.026639	 92.026673	
MRI_faces_135	 1	 1	 after	 2	 2089.jpg	 49	 0	 95.021358	 97.021697	
MRI_faces_135	 1	 1	 after	 2	 2118.jpg	 12	 0	 102.026826	 104.022947	
MRI_faces_135	 1	 1	 after	 2	 2149.jpg	 48	 0	 105.023081	 107.023453	
MRI_faces_135	 1	 1	 after	 2	 1007.jpg	 20	 1	 108.026966	 110.026964	
MRI_faces_135	 1	 1	 after	 2	 1035.jpg	 9	 1	 111.024122	 113.024460	
MRI_faces_135	 1	 1	 after	 2	 1114.jpg	 16	 1	 116.027017	 118.025331	
MRI_faces_135	 1	 1	 after	 2	 2063.jpg	 42	 0	 119.010365	 121.010499	
MRI_faces_135	 1	 1	 after	 2	 1017.jpg	 3	 1	 122.011311	 124.013288	
MRI_faces_135	 1	 1	 after	 2	 1019.jpg	 10	 1	 125.010450	 127.010454	
MRI_faces_135	 1	 1	 after	 2	 1202.jpg	 11	 1	 130.010576	 132.011698	
MRI_faces_135	 1	 1	 after	 2	 2058.jpg	 50	 0	 135.011730	 137.011997	
MRI_faces_135	 1	 1	 after	 2	 2041.jpg	 41	 0	 139.012300	 141.012712	
MRI_faces_135	 1	 1	 after	 2	 2015.jpg	 55	 0	 145.013372	 147.013712	
MRI_faces_135	 1	 1	 after	 2	 1060.jpg	 57	 1	 148.013949	 150.014288	
MRI_faces_135	 1	 1	 after	 2	 1246.jpg	 40	 1	 152.014560	 154.014959	
MRI_faces_135	 1	 1	 after	 2	 2110.jpg	 58	 0	 157.015463	 159.015798	
MRI_faces_135	 1	 1	 after	 2	 2212.jpg	 39	 0	 161.016188	 163.016570	
